Account: 1c82aa56-ba44-451d-8ee3-d5c0873bd60a | Type: Deposit | Amount: 338.0
Account: 1d31ec0b-8ce7-4d11-86cb-479d015fa627 | Type: Deposit | Amount: 132.0
Account: 1d31ec0b-8ce7-4d11-86cb-479d015fa627 | Type: Withdrawal | Amount: 474.0
Account: c0c57f4a-1c11-4736-83df-27d4fd879dc8 | Type: Deposit | Amount: 284.0
Account: c0c57f4a-1c11-4736-83df-27d4fd879dc8 | Type: Withdrawal | Amount: 209.0
Account: c29d176f-2201-44d1-9386-1615fd2eaeb6 | Type: Deposit | Amount: 391.0
Account: c29d176f-2201-44d1-9386-1615fd2eaeb6 | Type: Withdrawal | Amount: 372.0
Account: 87d81e0e-73ff-444e-b34e-4f5043b7585f | Type: Deposit | Amount: 436.0
Account: 87d81e0e-73ff-444e-b34e-4f5043b7585f | Type: Withdrawal | Amount: 300.0
Account: d0839e46-751e-4907-a39f-3dabc21d9fce | Type: Deposit | Amount: 160.0
Account: d0839e46-751e-4907-a39f-3dabc21d9fce | Type: Withdrawal | Amount: 105.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: 500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: -500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: 500.0
Account: 7a397faf-6d03-40e7-a907-1d8de26a60f4 | Type: Deposit | Amount: 500.0
